Geographical area,Industry,Race/ ethinicity,Ethnicity,Year,Employees
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2020,129
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2020,24
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2020,0
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,All Ethnicities,2020,608991
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2020,48665
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2020,257413
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2020,6250
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2021,4647
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2021,97
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2021,2627
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2021,60
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2021,1911
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2021,23
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,All Ethnicities,2021,6360
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,Hispanic or Latino,2021,431
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,All Ethnicities,2021,3448
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2021,327
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2021,2299
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2021,53
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2021,556
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2021,20
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2021,427
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2021,18
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2021,104
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2021,1116
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2021,44
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2021,773
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2021,32
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2021,193
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2021,4
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2021,36554
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2021,1766
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2021,23583
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2021,1323
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2021,7089
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2021,209
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2021,20211
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2021,1045
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2021,13570
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2021,819
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2021,4329
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2021,112
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,All Ethnicities,2021,15496
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2021,743
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2021,11143
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2021,596
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2021,2244
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2021,60
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2021,6841
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2021,368
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2021,5265
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2021,289
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2021,1028
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2021,38
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,All Ethnicities,2021,904
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,Hispanic or Latino,2021,57
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,All Ethnicities,2021,668
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2021,42
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2021,164
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2021,5
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2021,218
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2021,7
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2021,177
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2021,6
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2021,35
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2021,0
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,All Ethnicities,2021,957044
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,Hispanic or Latino,2021,64867
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,All Ethnicities,2021,608230
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2021,50841
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2021,257846
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2021,6422
"Baltimore, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2017,2708
"Baltimore, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2017,40
"Baltimore, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2017,1535
"Baltimore, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2017,27
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2017,1130
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2017,6
"Baltimore, MD",Warehousing and Storage,All Races,All Ethnicities,2017,5782
"Baltimore, MD",Warehousing and Storage,All Races,Hispanic or Latino,2017,261
"Baltimore, MD",Warehousing and Storage,White Alone,All Ethnicities,2017,2502
"Baltimore, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2017,179
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2017,2724
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2017,44
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2017,528
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2017,13
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2017,395
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2017,10
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2017,83
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2017,206
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2017,7
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2017,134
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2017,6
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2017,60
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2017,0
"Baltimore, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2017,2797
"Baltimore, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2017,111
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2017,1786
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2017,85
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2017,457
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2017,10
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2017,3016
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2017,120
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2017,1891
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2017,94
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2017,703
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2017,15
"Baltimore, MD",Scientific Research and Development Services,All Races,All Ethnicities,2017,1693
"Baltimore, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2017,69
"Baltimore, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2017,1180
"Baltimore, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2017,61
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2017,283
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2017,4
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2017,661
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2017,24
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2017,461
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2017,15
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2017,161
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2017,5
"Baltimore, MD",Performing Arts Companies,All Races,All Ethnicities,2017,487
"Baltimore, MD",Performing Arts Companies,All Races,Hispanic or Latino,2017,18
"Baltimore, MD",Performing Arts Companies,White Alone,All Ethnicities,2017,345
"Baltimore, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2017,13
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2017,105
"Baltimore, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2017,77
"Baltimore, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2017,66
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2017,10
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2017,0
"Baltimore, MD",All NAICS Sectors,All Races,All Ethnicities,2017,253003
"Baltimore, MD",All NAICS Sectors,All Races,Hispanic or Latino,2017,12879
"Baltimore, MD",All NAICS Sectors,White Alone,All Ethnicities,2017,141373
"Baltimore, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2017,9771
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2017,88433
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2017,1537
"Baltimore, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2018,2854
"Baltimore, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2018,48
"Baltimore, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2018,1646
"Baltimore, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2018,34
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2018,1159
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2018,7
"Baltimore, MD",Warehousing and Storage,All Races,All Ethnicities,2018,7278
"Baltimore, MD",Warehousing and Storage,All Races,Hispanic or Latino,2018,433
"Baltimore, MD",Warehousing and Storage,White Alone,All Ethnicities,2018,2989
"Baltimore, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2018,293
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2018,3582
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2018,74
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2018,354
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2018,11
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2018,262
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2018,9
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2018,74
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2018,0
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2018,227
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2018,11
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2018,157
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2018,10
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2018,53
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2018,0
"Baltimore, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2018,2932
"Baltimore, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2018,118
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2018,1867
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2018,88
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2018,521
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2018,9
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2018,3153
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2018,141
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2018,1985
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2018,116
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2018,719
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2018,10
"Baltimore, MD",Scientific Research and Development Services,All Races,All Ethnicities,2018,1741
"Baltimore, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2018,77
"Baltimore, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2018,1190
"Baltimore, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2018,61
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2018,291
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2018,7
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2018,662
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2018,25
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2018,445
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2018,14
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2018,169
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2018,7
"Baltimore, MD",Performing Arts Companies,All Races,All Ethnicities,2018,467
"Baltimore, MD",Performing Arts Companies,All Races,Hispanic or Latino,2018,20
"Baltimore, MD",Performing Arts Companies,White Alone,All Ethnicities,2018,324
"Baltimore, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2018,15
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2018,102
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2018,0
"Baltimore, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2018,78
"Baltimore, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2018,66
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2018,8
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2018,0
"Baltimore, MD",All NAICS Sectors,All Races,All Ethnicities,2018,252960
"Baltimore, MD",All NAICS Sectors,All Races,Hispanic or Latino,2018,13143
"Baltimore, MD",All NAICS Sectors,White Alone,All Ethnicities,2018,140238
"Baltimore, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2018,9966
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2018,89012
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2018,1555
"Baltimore, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2019,3107
"Baltimore, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2019,52
"Baltimore, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2019,1731
"Baltimore, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2019,32
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2019,1317
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2019,10
"Baltimore, MD",Warehousing and Storage,All Races,All Ethnicities,2019,6981
"Baltimore, MD",Warehousing and Storage,All Races,Hispanic or Latino,2019,448
"Baltimore, MD",Warehousing and Storage,White Alone,All Ethnicities,2019,2320
"Baltimore, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2019,303
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2019,4115
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2019,83
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2019,349
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2019,10
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2019,256
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2019,9
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2019,79
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2019,0
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2019,237
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2019,10
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2019,166
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2019,7
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2019,51
"Baltimore, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2019,3136
"Baltimore, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2019,124
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2019,2020
"Baltimore, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2019,93
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2019,574
"Baltimore, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2019,12
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2019,3654
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2019,173
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2019,2310
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2019,141
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2019,839
"Baltimore, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2019,18
"Baltimore, MD",Scientific Research and Development Services,All Races,All Ethnicities,2019,2307
"Baltimore, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2019,120
"Baltimore, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2019,1501
"Baltimore, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2019,98
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2019,462
"Baltimore, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2019,11
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2019,714
"Baltimore, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2019,33
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2019,479
"Baltimore, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2019,20
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2019,190
"Baltimore, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2019,7
"Baltimore, MD",Performing Arts Companies,All Races,All Ethnicities,2019,278
"Baltimore, MD",Performing Arts Companies,All Races,Hispanic or Latino,2019,15
"Baltimore, MD",Performing Arts Companies,White Alone,All Ethnicities,2019,189
"Baltimore, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2019,11
"Baltimore, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2019,73
"Baltimore, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2019,91
"Baltimore, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2019,77
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2019,9
"Baltimore, MD","Independent Artists, Writers, and Performers",Black or African American Alone,Hispanic or Latino,2019,0
"Baltimore, MD",All NAICS Sectors,All Races,All Ethnicities,2019,256435
"Baltimore, MD",All NAICS Sectors,All Races,Hispanic or Latino,2019,13936
"Baltimore, MD",All NAICS Sectors,White Alone,All Ethnicities,2019,140854
"Baltimore, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2019,10608
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2019,91214
"Baltimore, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2019,1651
"Baltimore, MD",All NAICS Sectors,All Races,All Ethnicities,2020,234830
"Baltimore, MD",All NAICS Sectors,All Races,Hispanic or Latino,2020,13260
"Baltimore, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2020,2813
"Baltimore, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2020,55
"Baltimore, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2020,1528
"Baltimore, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2020,31
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2020,1230
"Baltimore, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2020,16
"Baltimore, MD",Warehousing and Storage,All Races,All Ethnicities,2020,8451
"Baltimore, MD",Warehousing and Storage,All Races,Hispanic or Latino,2020,634
"Baltimore, MD",Warehousing and Storage,White Alone,All Ethnicities,2020,2964
"Baltimore, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2020,448
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2020,4731
"Baltimore, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2020,106
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2020,331
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2020,10
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2020,245
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2020,9
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2020,74
"Baltimore, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2020,0
"Baltimore, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2020,202
